id,title,frequency,units,popularity
MPRIME,Bank Prime Loan Rate,Monthly,Percent,58
PCU333120333120,Producer Price Index by Industry: Construction Machinery Manufacturing,Monthly,Index Dec 1980=100,58
EXPINF2YR,2-Year Expected Inflation,Monthly,Percent,58
PCU32221132221102,Producer Price Index by Industry: Corrugated and Solid Fiber Box Manufacturing: Corrugated Shipping Containers for Paper and Allied Products,Monthly,Index Mar 1980=100,58
WPU012,Producer Price Index by Commodity: Farm Products: Grains,Monthly,Index 1982=100,58
PCU336412336412,Producer Price Index by Industry: Aircraft Engine and Engine Parts Manufacturing,Monthly,Index Dec 1985=100,58
PCU325120325120,Producer Price Index by Industry: Industrial Gas Manufacturing,Monthly,Index Dec 2003=100,58
CNP16OV,Population Level,Monthly,Thousands of Persons,58
PCU331110331110,Producer Price Index by Industry: Iron and Steel Mills and Ferroalloy Manufacturing,Monthly,Index Jun 1982=100,58
PCU324191324191,Producer Price Index by Industry: Petroleum Lubricating Oil and Grease Manufacturing,Monthly,Index Dec 1980=100,58
PCU325212325212P,Producer Price Index by Industry: Synthetic Rubber Manufacturing: Primary Products,Monthly,Index Jun 1981=100,58
WPU07110224,"Producer Price Index by Commodity: Rubber and Plastic Products: Synthetic Rubber, Including Styrene-Butadiene Rubber (SBR) and Ethylene Propylene",Monthly,Index Jun 2003=100,58
PCU481481,Producer Price Index by Industry: Air Transportation,Monthly,Index Dec 1992=100,58
PCUAWHLTRAWHLTR,Producer Price Index by Industry: Total Wholesale Trade Industries,Monthly,Index Dec 2006=100,58
APU0000718311,Average Price: Potato Chips (Cost per 16 Ounces) in U.S. City Average,Monthly,U.S. Dollars,58
APU0200FN1102,"Average Price: All Soft Drinks, 12 Pk, 12 Ounce, Cans (Cost per 12 Ounces/354.9 Milliliters) in the Midwest Census Region - Urban",Monthly,U.S. Dollars,58
PIORECRUSDM,Global price of Iron Ore,Monthly,U.S. Dollars per Metric Ton,58
IRLTLT01JPM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Japan,Monthly,Percent,58
PCU441110441110,Producer Price Index by Industry: New Car Dealers,Monthly,Index Dec 1999=100,58
JPNASSETS,Bank of Japan: Total Assets for Japan,"Monthly, End of Period",100 Million Yen,58
EXJPUS,Japanese Yen to U.S. Dollar Spot Exchange Rate,Monthly,Japanese Yen to One U.S. Dollar,58
ACTLISCOUCA,Housing Inventory: Active Listing Count in California,Monthly,Level,57
PCU622110622110,Producer Price Index by Industry: General Medical and Surgical Hospitals,Monthly,Index Dec 1992=100,57
PCU332991332991,Producer Price Index by Industry: Ball and Roller Bearing Manufacturing,Monthly,Index Jun 1983=100,57
WPU0571,Producer Price Index by Commodity: Fuels and Related Products and Power: Gasoline,Monthly,Index 1982=100,57
WPU43,Producer Price Index by Commodity: Real Estate Services (Partial),Monthly,Index Jun 2009=100,57
PCU445110445110,Producer Price Index by Industry: Supermarkets and Other Grocery Stores,Monthly,Index Dec 1999=100,57
IRLTLT01DEM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Germany,Monthly,Percent,57
PCU482111482111,Producer Price Index by Industry: Line-Haul Railroads,Monthly,Index Dec 1984=100,57
PCU325199325199P,Producer Price Index by Industry: All Other Basic Organic Chemical Manufacturing: Primary Products,Monthly,Index Dec 1982=100,57
PCU311421311421,Producer Price Index by Industry: Fruit and Vegetable Canning,Monthly,Index Jun 1981=100,57
RBUSBIS,Real Broad Effective Exchange Rate for United States,Monthly,Index 2020=100,57
WPU083,Producer Price Index by Commodity: Lumber and Wood Products: Plywood,Monthly,Index 1982=100,57
WPUID61,Producer Price Index by Commodity: Intermediate Demand by Commodity Type: Processed Goods for Intermediate Demand,Monthly,Index 1982=100,57
PCU332510332510,Producer Price Index by Industry: Hardware Manufacturing,Monthly,Index Jun 1985=100,57
WPU0561,Producer Price Index by Commodity: Fuels and Related Products and Power: Crude Petroleum (Domestic Production),Monthly,Index 1982=100,57
TWEXBGSMTH,Nominal Broad U.S. Dollar Index,Monthly,Index Jan 2006=100,57
WPU1411,Producer Price Index by Commodity: Transportation Equipment: Motor Vehicles,Monthly,Index 1982=100,57
PCU532412532412,Producer Price Index by Industry: Other Heavy Machinery Rental and Leasing,Monthly,Index Dec 2003=100,57
IRLTLT01GBM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United Kingdom,Monthly,Percent,57
PCU332618332618,Producer Price Index by Industry: Other Fabricated Wire Product Manufacturing,Monthly,Index Dec 1982=100,57
WPU571,Producer Price Index by Commodity: Wholesale Trade Services: Machinery and Equipment and Parts and Supplies Wholesaling,Monthly,Index Jun 2009=100,57
PCU332322332322,Producer Price Index by Industry: Sheet Metal Work Manufacturing,Monthly,Index Dec 1982=100,57
WPU0638,Producer Price Index by Commodity: Chemicals and Allied Products: Pharmaceutical Preparations,Monthly,Index Jun 2001=100,57
WPU0221,Producer Price Index by Commodity: Processed Foods and Feeds: Meats,Monthly,Index 1982=100,57
PCU481111481111,Producer Price Index by Industry: Scheduled Passenger Air Transportation,Monthly,Index Dec 1989=100,57
RIFLPBCIANM60NM,"Finance Rate on Consumer Installment Loans at Commercial Banks, New Autos 60 Month Loan",Monthly,Percent,57
WPU5831,"Producer Price Index by Commodity: Retail Trade Services: Apparel, Jewelry, Footwear, and Accessories Retailing",Monthly,Index Jun 2009=100,57
WPU5121,Producer Price Index by Commodity: Health Care Services: Inpatient Care,Monthly,Index Jun 2009=100,57
PCU33441K33441K,"Producer Price Index by Industry: Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",Monthly,Index Dec 2011=100,57
PCU335931335931,Producer Price Index by Industry: Current-Carrying Wiring Device Manufacturing,Monthly,Index Dec 1981=100,57
PCOALAUUSDM,"Global price of Coal, Australia",Monthly,U.S. Dollars per Metric Ton,57
WPU5811,Producer Price Index by Commodity: Retail Trade Services: Food and Alcohol Retailing,Monthly,Index Mar 2009=100,56
EXUSEU,U.S. Dollars to Euro Spot Exchange Rate,Monthly,U.S. Dollars to One Euro,56
APU0000701111,"Average Price: Flour, White, All Purpose (Cost per Pound/453.6 Grams) in U.S. City Average",Monthly,U.S. Dollars,56
PCU621111621111,"Producer Price Index by Industry: Offices of Physicians, Except Mental Health",Monthly,Index Dec 1993=100,56
WPU029,Producer Price Index by Commodity: Processed Foods and Feeds: Prepared Animal Feeds,Monthly,Index 1982=100,56
WPU4511,Producer Price Index by Commodity: Professional Services (Partial): Legal Services,Monthly,Index Mar 2009=100,56
WPUID62,Producer Price Index by Commodity: Intermediate Demand by Commodity Type: Unprocessed Goods for Intermediate Demand,Monthly,Index 1982=100,56
ACTLISCOU38060,"Housing Inventory: Active Listing Count in Phoenix-Mesa-Scottsdale, AZ (CBSA)",Monthly,Level,56
CP0000EZ19M086NEST,Harmonized Index of Consumer Prices: All Items for Euro area (19 countries),Monthly,Index 2015=100,56
WPUID63,Producer Price Index by Commodity: Intermediate Demand by Commodity Type: Services for Intermediate Demand,Monthly,Index Nov 2009=100,56
M12MTVUSM227NFWA,Moving 12-Month Total Vehicle Miles Traveled,Monthly,Millions of Miles,56
WPU3911,Producer Price Index by Commodity: Credit Intermediation Services (Partial): Business Loans (Partial),Monthly,Index Apr 2009=100,56
WPUID51,Producer Price Index by Commodity: Intermediate Demand by Production Flow: Stage 1 Intermediate Demand,Monthly,Index Nov 2009=100,56
WPUID53,Producer Price Index by Commodity: Intermediate Demand by Production Flow: Stage 3 Intermediate Demand,Monthly,Index Nov 2009=100,56
WPUID54,Producer Price Index by Commodity: Intermediate Demand by Production Flow: Stage 4 Intermediate Demand,Monthly,Index Nov 2009=100,56
WPUID52,Producer Price Index by Commodity: Intermediate Demand by Production Flow: Stage 2 Intermediate Demand,Monthly,Index Nov 2009=100,56
WPU5111,Producer Price Index by Commodity: Health Care Services: Outpatient Care (Partial),Monthly,Index Jun 2009=100,56
APU0000FS1101,"Average Price: Butter, Stick (Cost per Pound/453.6 Grams) in U.S. City Average",Monthly,U.S. Dollars,56
PSUNOUSDM,Global price of Sunflower Oil,Monthly,U.S. Dollars per Metric Ton,56
PRAWMINDEXM,Global price of Agr. Raw Material Index,Monthly,Index 2016 = 100,56
RTWEXBGS,Real Broad Dollar Index,Monthly,Index Jan 2006=100,56
MCOILWTICO,"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma",Monthly,Dollars per Barrel,55
GS1,"Market Yield on U.S. Treasury Securities at 1-Year Constant Maturity, Quoted on an Investment Basis",Monthly,Percent,55
CWUR0000SA0,Consumer Price Index for All Urban Wage Earners and Clerical Workers: All Items in U.S. City Average,Monthly,Index 1982-1984=100,55
PBARLUSDM,Global price of Barley,Monthly,U.S. Dollars per Metric Ton,55
LNU00074597,"Population - With a Disability, 16 Years and over",Monthly,Thousands of Persons,55
MEDLISPRIPERSQUFEEUS,Housing Inventory: Median Listing Price per Square Feet in the United States,Monthly,U.S. Dollars,55
DAXRNSA,S&P CoreLogic Case-Shiller TX-Dallas Home Price Index,Monthly,Index Jan 2000=100,55
MCOILBRENTEU,Crude Oil Prices: Brent - Europe,Monthly,Dollars per Barrel,55
IR3TIB01USM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for United States,Monthly,Percent,55
TRFVOLUSM227NFWA,Vehicle Miles Traveled,Monthly,Millions of Miles,54
MMTY,Treasury Yield: Money Market,Monthly,Percent,54
PHXRNSA,S&P CoreLogic Case-Shiller AZ-Phoenix Home Price Index,Monthly,Index Jan 2000=100,54
MIXRNSA,S&P CoreLogic Case-Shiller FL-Miami Home Price Index,Monthly,Index Jan 2000=100,54
GEPUCURRENT,Global Economic Policy Uncertainty Index: Current Price Adjusted GDP,Monthly,Index,54
PPOILUSDM,Global price of Palm Oil,Monthly,U.S. Dollars per Metric Ton,54
PCOTTINDUSDM,Global price of Cotton,Monthly,U.S. Cents per Pound,54
CFNAI,Chicago Fed National Activity Index,Monthly,Index,54
PMAIZMTUSDM,Global price of Corn,Monthly,U.S. Dollars per Metric Ton,54
EXPINF5YR,5-Year Expected Inflation,Monthly,Percent,54
CPILFENS,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in U.S. City Average,Monthly,Index 1982-1984=100,53
MYAGM2CNM189N,M2 for China,Monthly,National Currency,53
WPU1012,Producer Price Index by Commodity: Metals and Metal Products: Iron and Steel Scrap,Monthly,Index 1982=100,53
WPU102505,Producer Price Index by Commodity: Metals and Metal Products: Titanium and Titanium-Base Alloy Mill Shapes,Monthly,Index 1982=100,53
APU0000704111,"Average Price: Bacon, Sliced (Cost per Pound/453.6 Grams) in U.S. City Average",Monthly,U.S. Dollars,53
ACTLISCOU12420,"Housing Inventory: Active Listing Count in Austin-Round Rock, TX (CBSA)",Monthly,Level,53
HQMCB10YRP,10-Year High Quality Market (HQM) Corporate Bond Par Yield,Monthly,Percent,53
TTLHHM156N,Household Estimates,Monthly,Thousands,53
M0264AUSM500NNBR,New Home Mortgage Applications for United States,Monthly,Number per Workday,53
CPIUFDNS,Consumer Price Index for All Urban Consumers: Food in U.S. City Average,Monthly,Index 1982-1984=100,52
GBRCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for United Kingdom",Monthly,Index 2015=100,52
TERMCBPER24NS,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Monthly,Percent,52
WPU10170674,"Producer Price Index by Commodity: Metals and Metal Products: Steel Pipe and Tube, Stainless Steel",Monthly,Index Dec 2010=100,52
INDCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for India",Monthly,Index 2015=100,52
PCU2122212122210,Producer Price Index by Industry: Gold Ore and Silver Ore Mining: Gold Ores,Monthly,Index Jun 1985=100,52
MVMTD027MNFRBDAL,Market Value of Marketable Treasury Debt,Monthly,Billions of Dollars,52
MBCURRCIR,Monetary Base; Currency in Circulation,Monthly,Millions of Dollars,52
POILWTIUSDM,Global price of WTI Crude,Monthly,U.S. Dollars per Barrel,52
BOGMBBM,Monetary Base; Reserve Balances,Monthly,Millions of Dollars,52
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,Monthly,Index Jan 1990=1,52
KCFSI,Kansas City Financial Stress Index,Monthly,Index,52
WPU10230103,Producer Price Index by Commodity: Metals and Metal Products: Yellow Brass Scrap,Monthly,Index Dec 1986=100,52
NDR12MCD,National Deposit Rates: 12-Month CD,Monthly,Percent,52
ACTLISCOU12086,"Housing Inventory: Active Listing Count in Miami-Dade County, FL",Monthly,Level,52
ACTLISCOU6073,"Housing Inventory: Active Listing Count in San Diego County, CA",Monthly,Level,52
PRUBBUSDM,Global price of Rubber,Monthly,U.S. Cents per Pound,52
APU0300703213,"Average Price: Chuck Roast, USDA Choice, Boneless (Cost per Pound/453.6 Grams) in the South Census Region - Urban",Monthly,U.S. Dollars,51
MRTSSM44112USN,Retail Sales: Used Car Dealers,Monthly,Millions of Dollars,51
CUUR0000SA0L2,Consumer Price Index for All Urban Consumers: All Items Less Shelter in U.S. City Average,Monthly,Index 1982-1984=100,51
JPNCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Japan",Monthly,Index 2015=100,51
HSFMEDUSM052N,Median Sales Price of Existing Single-Family Homes,Monthly,Dollars,51
INTDSRJPM193N,"Interest Rates, Discount Rate for Japan",Monthly,Percent per Annum,51
PCU4831114831115,Producer Price Index by Industry: Deep Sea Freight Transportation: Deep Sea Freight Transportation Services,Monthly,Index Jun 1988=100,51
IR,Import Price Index (End Use): All Commodities,Monthly,Index 2000=100,51
CPIHOSNS,Consumer Price Index for All Urban Consumers: Housing in U.S. City Average,Monthly,Index 1982-1984=100,51
WPU06130302,"Producer Price Index by Commodity: Chemicals and Allied Products: Chlorine, Sodium Hydroxide, and Other Alkalies",Monthly,Index Jun 2005=100,51
FEDMINNFRWG,Federal Minimum Hourly Wage for Nonfarm Workers for the United States,Monthly,Dollars per Hour,51
PCU3364133641,Producer Price Index by Industry: Aerospace Product and Parts Manufacturing,Monthly,Index Jun 1985=100,51
IMPCH,U.S. Imports of Goods by Customs Basis from China,Monthly,Millions of Dollars,51
GS5,"Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity, Quoted on an Investment Basis",Monthly,Percent,51
PBANSOPUSDM,Global price of Bananas,Monthly,U.S. Dollars per Metric Ton,51
APU0000706111,"Average Price: Chicken, Fresh, Whole (Cost per Pound/453.6 Grams) in U.S. City Average",Monthly,U.S. Dollars,51
INTDSRCNM193N,"Interest Rates, Discount Rate for China",Monthly,Percent per Annum,50
TB3SMFFM,3-Month Treasury Bill Minus Federal Funds Rate,Monthly,Percent,50
PCU3312103312100,"Producer Price Index by Industry: Iron and Steel Pipe and Tube Manufacturing from Purchased Steel: Iron and Steel Pipes and Tubes, from Purchased Iron and Steel",Monthly,Index Jun 1982=100,50
M1109BUSM293NNBR,Dow-Jones Industrial Stock Price Index for United States,Monthly,Dollars per Share,50
PFOODINDEXM,Global price of Food index,Monthly,Index 2016 = 100,50
ACTLISCOU6037,"Housing Inventory: Active Listing Count in Los Angeles County, CA",Monthly,Level,50
ACTLISCOU19100,"Housing Inventory: Active Listing Count in Dallas-Fort Worth-Arlington, TX (CBSA)",Monthly,Level,50
CPALTT01USM659N,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for United States",Monthly,Growth rate same period previous year,50
PSHRIUSDM,Global price of Shrimp,Monthly,U.S. Dollars per Kilogram,50
WPU09120325,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Corrugated Recyclable Paper",Monthly,Index Jun 2006=100,50
PSUGAISAUSDM,"Global price of Sugar, No. 11, World",Monthly,U.S. Cents per Pound,50
TOTALNSA,Total Vehicle Sales,Monthly,Thousands of Units,49
PMETAINDEXM,Global price of Metal index,Monthly,Index 2016 = 100,49
EXVZUS,Venezuelan Bolivares to U.S. Dollar Spot Exchange Rate,Monthly,Venezuelan Bolivares to One U.S. Dollar,49
ASPNHSUS,Average Sales Price for New Houses Sold in the United States,Monthly,Dollars,49
IRLTLT01EZM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Euro Area (19 Countries),Monthly,Percent,49
WPU117409,"Producer Price Index by Commodity: Machinery and Equipment: Power and Distribution Transformers, Except Parts",Monthly,Index Dec 1999=100,49
TERMCBCCINTNS,"Commercial Bank Interest Rate on Credit Card Plans, Accounts Assessed Interest",Monthly,Percent,49
WPU10260314,Producer Price Index by Commodity: Metals and Metal Products: Copper Wire and Cable,Monthly,Index Dec 1986=100,49
BORROW,Total Borrowings from the Federal Reserve,Monthly,Billions of Dollars,49
PCU3353133531,Producer Price Index by Industry: Electrical Equipment Manufacturing,Monthly,Index Dec 2003=100,49
MRTSSM7225USN,Retail Sales: Restaurants and Other Eating Places,Monthly,Millions of Dollars,49
EXCHUS,Chinese Yuan Renminbi to U.S. Dollar Spot Exchange Rate,Monthly,Chinese Yuan Renminbi to One U.S. Dollar,49
PCOCOUSDM,Global price of Cocoa,Monthly,U.S. Dollars per Metric Ton,49
T20YIEM,20-year Breakeven Inflation Rate,Monthly,Percent,49
